类别,子类别,问题,答案
售后服务,售后政策（三方）,母婴类商品退换货细则（三方）,"童装孕产类商品售后退换货细则一、商品签收：1、当面验收：为保障客户自身权益，客户在签收商品前应对商品当面验收，检查货物外包装及内物外观，在确定货物完好无损后，再进行签收；如果物流公司不支持先验货再签收，客户可致电卖家协商之后拒绝签收。如在验收过程中发现外包装破损、商品出现破损、少件等问题，客户有权拒绝签收，并在拒绝签收后联系卖家进行核实处理；如客户未进行验收即做签收，将默认为客户已经对商品进行了表面验收；2、委托他人代收：卖家需告知客户（被委托人）签收标准，客户委托他人代收的行为视同于客户本人已对商品进行签收。二、商品退/换货服务：1、退换货时限：（1）退货：客户自签收之日起7日内可申请无理由退换货； （2）换货：客户自签收之日起15日内可申请换货；2、退换货原因：（1）符合法律规定的7日无理由退换货条件； （2）商品售出时即存在质量问题。3、退换货条件：（1）7天无理由退换货，需要客户保持商品完好；（2）退换货商品无显著穿戴、无洗涤、无沾染化妆品（如口红）等痕迹；食品类商品未经拆封（商品存在质量问题的除外）；4、注意事项：（1）孕妇内衣裤、乳贴、插片/胸垫等贴身商品暂不支持七天无理由退换货服务, 商品存在质量问题的除外；（2）食品类商品离过期不到3个月，商家在商品详情页有明确说明告知的情况，不支持退换货；（3）不适用七天无理由退换货的产品，如遇过敏问题产生退货需要提供医院的相关证明；（4）因客户个人原因造成的商品损坏（如自行修改尺寸，洗涤，皮具打油，刺绣，长时间穿着、体味及香水污染），不支持退换货；（5）客户因款式、颜色、尺码及个人喜好等原因申请退换货的，不属于因质量问题产生的退换货；（6）对于商品质量问题，客户需向卖家提供证据，若卖家收到证据后，确认商品本身确实存在质量问题的，应接受退货或者换货。客户应妥善包装后退回商品，返回方式及地址以售后服务单审核为准，产生的退换货运费均由卖家承担；（7）卖家有如实描述商品的义务，如因卖家原因导致商品尺寸错误、或者商品样式、材质及服务标准与页面描述不符，卖家应按照页面描述履约，如客户要求退货或者换货，卖家应接受，产生的退换货运费由卖家承担。图片及商品信息仅供参考，因拍摄灯光及不同显示器等问题可能造成商品图片与实物存在一定色差，一切以实物为准；因拍摄设备、光线、显示器等原因产生的色差问题，以及因商品测量标准不一致导致的尺寸问题在相关标准规定的尺寸误差范围内的，均不属于商品质量问题；（8）7天无理由退换货的商品非因商品质量问题产生的退换货运费由客户自行承担。（具体请参见下述约定）。5、运费：运费承担请参考：《第三方卖家商品售后服务运费处理总则》                       2017-04-17"
售后服务,售后政策（自营）,检测单在哪里，怎么没找到呢？,您好，商品如出现性能性故障，请您按照《用户手册》上面的联系方式与厂家售后联系，并携带商品发票及保修卡到当地厂家售后进行性能故障检测。确认性能故障后，厂家售后会开具的检测单（如售后无法提供检测单，则需提供故障鉴定证明）。如您当地无厂家售后，京东可代您将商品送往厂家售后进行检测。注：因京东作为经销商，需要将每个品牌的商品定期分批的拿去服务站检测，然后等候服务站的检测通知，周期较长，需要7-15个工作日，故建议您自行到厂家售后服务点进行检测2017-03-11
特色服务,自营放心购,什么是免举证退换货？（自营商品）,客户选购有“免举证退换货”标识的自营商品，如商品在使用过程中出现性能故障，可以在线提交售后申请（7天内申请退货，15天内申请换货），检测审核符合退换货条件的直接为客户办理退换货。
发票问题,发票开具规则,余额支付部分是否可以开具发票？,您好，余额支付金额部分是可以开具发票的。同时，使用优惠券（京券和东券）、礼品卡/京东E卡支付的金额不开具发票；京豆换购商品不提供发票。详情请见：https://help.jd.com/user/issue/313-974.html2017-05-22
订单百事通,订单异常,为什么订单上显示的快递单号查询不到配送信息？,快递单号查询不到配送信息一般是由于商家上传错误了快递单号或快递暂时未录入信息导致，若您的订单长时间未更新，可直接联系商家客服或京东客服帮您处理。2016-01-26
发票问题,发票开具规则,增票资质审核通过后，如何删除？,为了防止倒票行为发生，降低税务风险，且考虑到一般情况下公司资质信息不会随意变更，故增票资质审核通过30天后方可进行删除。请您放心，如您有删除的需求，可在原资质审核通过30天后及时操作，我们会尽快为您处理。2019-10-17
账户及会员,账户资产,什么是客户端专享券？,客户端专享券针对京东APP推出的优惠券，包括客户端专享京券、客户端专享东券， 适用范围仅针对于京东APP客户端（IOS、Android） ，并且每个订单仅能使用一张客户端京券，多张客户端京券不能叠加，客户端专享京券无金额限制，不可以购买京东虚拟产品（数字音乐、电子书等）。2017-10-19
配送方式,配送异常,为何物流显示签收，却没有收到？,若订单物流信息中显示已签收，实际却没有收到货，可能存在以下几种情况：1、您的家人、朋友、公司前台、小区门卫等代收点帮忙代收，建议您优先查找下；2、配送人员误操作已签收，建议您耐心等待配送人员为您送货；若您长时间未收货，京东自营商品建议您联系京东在线客服帮您查询原因，第三方卖家商品请直接联系商家客服处理。2016-07-05
账户及会员,会员介绍,什么是企享值？,企享值是根据企业用户近12个月在京东平台和京东金融的账号信息、消费金额、活跃互动、企业信用及信誉等方面行为，综合算出的分值。分值每天更新，每月2日结算最近12个月分值。2021-1-6
售后服务,售后政策（三方）,食品、保健品类商品退换货细则（三方）,适用范围：食品饮料、保健品类 等一、商品退/换货服务： 1、退换货原因：1)  商品质量问题；2、注意事项：1) 为了保证食用安全，食品饮料、保健品类商品一经售出，如无质量问题，不支持退换货；2) 退货时赠品/发票（如有）需一并返回，如赠品/发票缺失，则主商品可能无法全额退款（质量问题换货无需返回）；3) 对于商品质量问题，消费者需向商家提供证据。消费者应妥善包装后退回商品，返回方式及地址以售后服务单退货地址为准，产生的退换货运费均由商家承担；4) 因消费者使用或保管不当所造成的食品质量问题，无法办理退换货；5) 个人审美、口感、喜好等主观因素不属于质量问题；6) 如本规则中内容与商品详情页描述不一致的，以商品详情页描述为准。二、运费：运费承担请参见《京东第三方卖家商品售后服务运费规则》。2018-07-17
特色服务,自营放心购,什么是发货延时补贴服务？（自营商品）,客户选购有“发货延时补贴”标识的自营商品，如商品未在预计发货时间完成发货的，客户可在收到商品后的7天内，在线提交申请，审核通过后根据发货的情况以京豆/京券形式补贴到客户的京东账户。
特色服务,大家电,空调类-京东安装收费标准,2020年12月31日
订单百事通,第三方交易纠纷,收到的商品少件了，如何解决？,同个订单购买多个商品，卖家可能会分多个包裹发出，可能不能同时送达，建议您及时在线联系卖家核实处理；若沟通过程中无法与卖家达成一致，您可申请交易纠纷单（如何申请交易纠纷单？）。2016-07-05
支付问题,京东白条,京东白条分期付款服务费如何收取？,每期分期服务费=消费本金×分期服务费率（月）。具体分期服务费率见下述费用标准，每期服务费与当期本金一同收取。注：如提前还款白条订单，应将剩余的分期服务费全部一次性还清。2016-07-13
支付问题,货到付款,货到付款订单可以用哪些支付方式？,选择货到付款，在订单送达时您可选择现金、POS机刷卡、支票方式支付货款或通过京东APP手机客户端 【扫啊扫】功能扫描包裹单上的订单条形码方式用手机来完成订单的支付（扫码支付）。POS机刷卡：目前仅支持带有银联标识的银行卡，信用卡POS机刷卡消费赠送积分以各银行为准，具体信息请致电发卡行。若您下单时在订单中填写POS机刷卡，支付时也可换成现金支付。支票支付：需要您将支票内容填写完整且需要款到账后方可送货。目前仅北京、上海两地客户可使用此服务，其他地区暂不支持。注意：货到付款的订单，如果一个ID帐号在一个月内有过1次以上或一年内有过3次以上，因非因京东原因导致拒收京东配送的商品，京东将从相应的ID帐户里按每单扣除500个京豆做为运费补偿；即一个用户一个月内，如果拒收次数超过一次，第一次拒收的订单不扣除京豆，第二次及以上拒收的订单，每单扣除500京豆；一个用户一年内，如果拒收次数超过三次，前三次拒收的订单不扣除京豆，（其中若存在一个月内有过1次以上的情况，按照以上规定操作）第四次及以上拒收的订单，每单扣除500京豆。时间计算方法为：成功提交订单后向前推算30天为一个月，成功提交订单后向前推算365天为一年，不以自然月和自然年计算。2016-07-05
